skill_id,name
1,3ds Max
2,ABAP
3,Adobe
4,Adobe Photoshop
5,Adobe XD
6,Agile
7,AI
8,Android
9,Android studio
10,Angular
11,AngularJS
12,Ansible
13,Anti-malware
14,Antivirus
15,Apache Airflow
16,Apache HttpClient
17,Apache Spark
18,API
19,Appium
20,Application Security
21,ASP.NET
22,Automation Test
23,AUTOSAR
24,AVR
25,AWS
26,AWS CloudFormation
27,AWS Lambda
28,Axure
29,Azure
30,Bash Shell
31,Big Data
32,Black box testing
33,Blazor
34,BLE
35,Blender
36,Blockchain
37,Bootstrap
38,BPMN
39,Bridge Engineer
40,BrowserStack
41,Burp Suite
42,Business Analysis
43,Business Intelligence
44,C#
45,C++
46,Change Management
47,Chinese
48,CI/CD
49,Cisco
50,C language
51,Clean Architecture
52,Cloud
53,Cloud-native Architecture
54,Cloud Security
55,CompTIA Security+
56,Computer Vision
57,CRM
58,CSS
59,CSS 3
60,Cucumber
61,Cybersecurity
62,Cypress
63,Dart
64,Data Analysis
65,Database
66,Databricks
67,Data cleaning
68,Data-driven
69,Data Engineer
70,Data mining
71,Data modeling
72,Data Quality Tools
73,Data Science
74,Data Warehousing
75,DBA
76,Deep Learning
77,Design
78,Design Systems
79,DevOps
80,DevSecOps
81,Digital Forensics
82,Django
83,Docker
84,Domain-Driven Design
85,Ec-cube
86,Elasticsearch
87,Elixir
88,ELK Stack
89,ELT
90,Embedded
91,Embedded C
92,English
93,Enterprise Architecture
94,Entity Framework
95,ERP
96,Ethers.js
97,ETL
98,Exploit Development
99,Express
100,ExpressJS
101,F#
102,FastAPI
103,Figma
104,Fiori
105,Firebase
106,Firewall
107,Flask
108,Flutter
109,Fullstack
110,Functional specifications
111,Games
112,GCP
113,Generative AI
114,Gin
115,Git
116,GitHub
117,GitHub Actions
118,GitLab
119,Golang
120,Google Cloud
121,Risk & Compliance
122,Grafana
123,GraphQL
124,Groovy
125,Hadoop
126,Hardware Troubleshooting
127,Helm
128,Hibernate
129,HPE LoadRunner
130,HTML
131,HTML5
132,Hugging Face Transformers
133,Illustrator
134,Information Security
135,Integration test
136,Interaction Design
137,iOS
138,IoT
139,ISO 27001
140,IT Audit
141,IT Communication/Translation
142,IT Governance
143,ITIL Foundation
144,IT Support
145,J2EE
146,Japanese
147,Japanese IT Communication
148,Java
149,JavaScript
150,Jenkins
151,Jest
152,Jira
153,Jmeter
154,JQuery
155,JSON
156,Juniper
157,JUnit
158,Kafka
159,Katalon
160,Koa
161,Korean
162,Kotlin
163,Kubernetes
164,Laravel
165,Leadership
166,LINQ
167,Linux
168,Live2D
169,LLM
170,Lua
171,Machine Learning
172,Magento
173,Market research
174,Maven
175,Maya
176,MFA
177,MFC
178,Microservices
179,Microservices Architecture
180,Microsoft Azure SQL Database
181,Microsoft Dynamics 365
182,Microsoft Power Apps
183,Microsoft SQL Server
184,MLOps
185,Mobile Apps
186,MongoDB
187,Motion Design
188,MVC
189,MVP
190,MVVM
191,MySQL
192,Neo4j
193,NestJS
194,.NET
195,.Net Core
196,Networking
197,NextJS
198,NLP
199,Nmap
200,NodeJS
201,NoSQL
202,NumPy
203,Nuxt.js
204,Objective C
205,OCR
206,Odoo
207,OLTP
208,OOP
209,OpenCV
210,OpenStack
211,Oracle
212,OutSystems
213,Penetration Testing
214,Pentest
215,PHP
216,Playwright
217,PL/SQL
218,PostgreSql
219,Postman
220,Power BI
221,PowerShell
222,PQA
223,Presale
224,Product Design
225,Product Management
226,Product Metrics
227,Product Owner
228,Product roadmap
229,Product strategy
230,Project Management
231,Prometheus
232,Prompt Engineering
233,Prototyping
234,Python
235,PyTorch
236,QA QC
237,R
238,Razor
239,ReactJS
240,React Native
241,Redis
242,Redux
243,REST Assured
244,Retrofit
245,Risk Management
246,Robot Framework
247,ROS
248,Ruby
249,Ruby on Rails
250,Rust
251,RxJS
252,Salesforce
253,SAP
254,Sass
255,Scala
256,Scrum
257,SCSS
258,Security
259,Security Awareness Training
260,Selenium
261,Sharepoint
262,Shopify
263,SIEM
264,Sketch
265,SOAP
266,SOAR
267,Software Architecture
268,SOLID Principles
269,Solution Architecture
270,Spark
271,Splunk
272,Spring
273,Spring Boot
274,SQL
275,SQLite
276,SRS
277,Stakeholder management
278,Statistical Analysis
279,Strategy planning
280,Swift
281,Symfony
282,System Admin
283,System Architecture
284,Tableau
285,Tailwind
286,Team Management
287,TensorFlow
288,Terraform
289,TestComplete
290,Tester
291,TestNG
292,Trello
